prr,method,normalized_mutual_information,normalized_variation_of_information,jaccard_index,modularity,num_communities
0.0,girvan_newmanc,0.05142040551960505,0.34403375074438053,0.19035565441947278,0.045137719179063764,10
0.0,greedy,0.02163675248817834,0.6809298946344353,0.06531531531531531,0.44191301143332545,13
0.0,infomap,0.06177221964180097,0.8178784855303561,0.026074074074074072,0.4166351814386671,32
0.0,louvain,0.016803888074533587,0.6879674601014457,0.06164328007137643,0.44919121738952406,13
0.05,girvan_newmanc,0.06450535087704387,0.3084262539240558,0.19374596262889682,0.007385122849337145,10
0.05,greedy,0.05111947973634714,0.615763779619554,0.09419967363892598,0.3340064386636575,9
0.05,infomap,0.11980043513820052,0.6984187047103082,0.057583356552428716,0.32846207614922834,21
0.05,louvain,0.0640898636576097,0.6213315841486621,0.08867806178453819,0.329642294771403,9
0.1,girvan_newmanc,0.05362795944532907,0.30033140758807175,0.1949295378997144,0.0022113800264358724,10
0.1,greedy,0.49506920224753576,0.283402020439209,0.4330865376960433,0.3209698862581574,5
0.1,infomap,0.0,0.2821702825423949,0.19732441471571907,0.0,1
0.1,louvain,0.5366314787483885,0.26094923463821196,0.4552878726010617,0.3270657387339152,5
0.15000000000000002,girvan_newmanc,0.9632713810613502,0.020834828166827135,0.9539364411471598,0.44602011035510336,6
0.15000000000000002,greedy,0.7775573215541403,0.12520634501555555,0.6830740216878831,0.4012568169140207,5
0.15000000000000002,infomap,0.9788801654115065,0.011918165600846034,0.9733585999331178,0.447981922791797,5
0.15000000000000002,louvain,0.9788801654115065,0.011918165600846034,0.9733585999331178,0.447981922791797,5
0.2,girvan_newmanc,1.0,0.0,1.0,0.5097320124689451,5
0.2,greedy,0.9712166135337061,0.016242230593756637,0.9606866002214839,0.5061653193025953,5
0.2,infomap,1.0,0.0,1.0,0.5097320124689451,5
0.2,louvain,0.9894489329632018,0.005954292360321673,0.9866442199775534,0.5080288154238997,5
0.25,girvan_newmanc,1.0,0.0,1.0,0.5487261446901127,5
0.25,greedy,0.9894489329632018,0.005954292360321595,0.9866442199775534,0.5477210166494043,5
0.25,infomap,1.0,0.0,1.0,0.5487261446901127,5
0.25,louvain,1.0,0.0,1.0,0.5487261446901127,5
0.30000000000000004,girvan_newmanc,1.0,0.0,1.0,0.5807931178788885,5
0.30000000000000004,greedy,0.9894489329632018,0.005954292360321595,0.9866442199775534,0.5793269075610651,5
0.30000000000000004,infomap,1.0,0.0,1.0,0.5807931178788885,5
0.30000000000000004,louvain,1.0,0.0,1.0,0.5807931178788885,5
0.35000000000000003,girvan_newmanc,1.0,0.0,1.0,0.6074111106233002,5
0.35000000000000003,greedy,1.0,0.0,1.0,0.6074111106233002,5
0.35000000000000003,infomap,1.0,0.0,1.0,0.6074111106233002,5
0.35000000000000003,louvain,1.0,0.0,1.0,0.6074111106233002,5
0.4,girvan_newmanc,1.0,0.0,1.0,0.6271853416793983,5
0.4,greedy,1.0,0.0,1.0,0.6271853416793983,5
0.4,infomap,1.0,0.0,1.0,0.6271853416793983,5
0.4,louvain,1.0,0.0,1.0,0.6271853416793983,5
0.45,girvan_newmanc,1.0,0.0,1.0,0.6427614274045126,5
0.45,greedy,1.0,0.0,1.0,0.6427614274045126,5
0.45,infomap,1.0,0.0,1.0,0.6427614274045126,5
0.45,louvain,1.0,0.0,1.0,0.6427614274045126,5
0.5,girvan_newmanc,1.0,0.0,1.0,0.6564846987485564,5
0.5,greedy,0.9894489329632018,0.005954292360321673,0.9866442199775534,0.652387952671752,5
0.5,infomap,0.9057460992755191,0.048609650430382186,0.7108433734939759,0.5914301179263594,4
0.5,louvain,1.0,0.0,1.0,0.6564846987485564,5
0.55,girvan_newmanc,1.0,0.0,1.0,0.6672515979391075,5
0.55,greedy,1.0,0.0,1.0,0.6672515979391075,5
0.55,infomap,1.0,0.0,1.0,0.6672515979391075,5
0.55,louvain,1.0,0.0,1.0,0.6672515979391075,5
0.6000000000000001,girvan_newmanc,1.0,0.0,1.0,0.6768518064864194,5
0.6000000000000001,greedy,1.0,0.0,1.0,0.6768518064864194,5
0.6000000000000001,infomap,1.0,0.0,1.0,0.6768518064864194,5
0.6000000000000001,louvain,1.0,0.0,1.0,0.6768518064864194,5
0.65,girvan_newmanc,1.0,0.0,1.0,0.6859705849916675,5
0.65,greedy,1.0,0.0,1.0,0.6859705849916675,5
0.65,infomap,1.0,0.0,1.0,0.6859705849916675,5
0.65,louvain,1.0,0.0,1.0,0.6859705849916675,5
0.7000000000000001,girvan_newmanc,1.0,0.0,1.0,0.693793528722936,5
0.7000000000000001,greedy,0.9894489329632018,0.005954292360321673,0.9866442199775534,0.689322621232632,5
0.7000000000000001,infomap,1.0,0.0,1.0,0.693793528722936,5
0.7000000000000001,louvain,1.0,0.0,1.0,0.693793528722936,5
0.75,girvan_newmanc,1.0,0.0,1.0,0.7003204024873336,5
0.75,greedy,1.0,0.0,1.0,0.7003204024873336,5
0.75,infomap,1.0,0.0,1.0,0.7003204024873336,5
0.75,louvain,1.0,0.0,1.0,0.7003204024873336,5
0.8,girvan_newmanc,1.0,0.0,1.0,0.7060227076222974,5
0.8,greedy,1.0,0.0,1.0,0.7060227076222974,5
0.8,infomap,1.0,0.0,1.0,0.7060227076222974,5
0.8,louvain,1.0,0.0,1.0,0.7060227076222974,5
0.8500000000000001,girvan_newmanc,1.0,0.0,1.0,0.7111798131089558,5
0.8500000000000001,greedy,1.0,0.0,1.0,0.7111798131089558,5
0.8500000000000001,infomap,1.0,0.0,1.0,0.7111798131089558,5
0.8500000000000001,louvain,1.0,0.0,1.0,0.7111798131089558,5
0.9,girvan_newmanc,1.0,0.0,1.0,0.7155092968027683,5
0.9,greedy,1.0,0.0,1.0,0.7155092968027683,5
0.9,infomap,1.0,0.0,1.0,0.7155092968027683,5
0.9,louvain,1.0,0.0,1.0,0.7155092968027683,5
0.9500000000000001,girvan_newmanc,1.0,0.0,1.0,0.7193470815267524,5
0.9500000000000001,greedy,1.0,0.0,1.0,0.7193470815267524,5
0.9500000000000001,infomap,1.0,0.0,1.0,0.7193470815267524,5
0.9500000000000001,louvain,1.0,0.0,1.0,0.7193470815267524,5
1.0,girvan_newmanc,1.0,0.0,1.0,0.7235076094839019,5
1.0,greedy,1.0,0.0,1.0,0.7235076094839019,5
1.0,infomap,1.0,0.0,1.0,0.7235076094839019,5
1.0,louvain,1.0,0.0,1.0,0.7235076094839019,5
