lambda,ER_4_mu_0.2_mean,ER_4_mu_0.2_std_dev,ER_6_mu_0.2_mean,ER_6_mu_0.2_std_dev,BA_4_mu_0.2_mean,BA_4_mu_0.2_std_dev,BA_6_mu_0.2_mean,BA_6_mu_0.2_std_dev,ER_4_mu_0.4_mean,ER_4_mu_0.4_std_dev,ER_6_mu_0.4_mean,ER_6_mu_0.4_std_dev,BA_4_mu_0.4_mean,BA_4_mu_0.4_std_dev,BA_6_mu_0.4_mean,BA_6_mu_0.4_std_dev
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,5.6e-05,0.00039200000000000004,0.0025491212121212126,0.008110523133530962,0.028815902959785315,0.02176085281888726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,4.000000000000001e-05,0.00028000000000000003,0.0031528251748251758,0.00715771393123562,0.05070101877207759,0.02351841618536831,0.14493563450584504,0.015468196354456573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.002233818181818182,0.004408500444061366,0.099598792202036,0.03600024240803402,0.11094439000868413,0.015717651135266086,0.24735496169190288,0.018582111267089783,0.0,0.0,0.0,0.0,0.0005920000000000001,0.004144000000000001,0.025757733658498365,0.02318165314215067
0.05,0.026264167832167833,0.022431546358438508,0.25533739515695864,0.023513656491326834,0.1825012192807193,0.01656708558418198,0.325267128446373,0.016389242707968245,0.0,0.0,0.0,0.0,0.00793644696969697,0.012726074334653706,0.08942246472971473,0.01142983477691417
0.06,0.1357972332204832,0.028028737529225998,0.3549790733043299,0.021273301330379774,0.2410093732492997,0.012995755374382608,0.3941488708546356,0.014234358754532593,0.0,0.0,0.0,0.0,0.04568337051837053,0.016580334284062827,0.1371565298561088,0.014236143448713472
0.07,0.2318671558498075,0.020399743772305714,0.4320843363303364,0.01641223830883892,0.2978687148341854,0.016012738939632908,0.44442358211233207,0.012166247355092223,0.0,0.0,0.0299373593073593,0.023321229813165673,0.07966994243501596,0.017089188068712163,0.18921630914699336,0.012496797556181903
0.08,0.3065460276212436,0.014821129089188445,0.48468076158731177,0.013743042144806155,0.3455337561004527,0.016159182983163878,0.492526745065676,0.011718149517153427,0.00011600000000000001,0.0008120000000000002,0.12276640880980044,0.019287763335571483,0.1126706583857319,0.01134641592832512,0.23113245937327206,0.01280910125349309
0.09,0.36295669920301576,0.0199500296064339,0.5268967904750336,0.014775649169478195,0.3895402935307726,0.013197099490356516,0.529857402700241,0.011280510730166832,0.0021166969696969694,0.004817620898262499,0.1934415129981817,0.020161079980965883,0.14186897257644315,0.011216442876264474,0.2720615584105437,0.01084292682031452
0.1,0.4162848790788675,0.013974570739350984,0.5635241566619654,0.01209880926709684,0.42719431758308773,0.013303802207719546,0.5600355313028046,0.010569697149621166,0.03049699431940608,0.02424355918091788,0.2510520815763184,0.015427478038612457,0.17248610036205625,0.012106203420758688,0.30438572906079425,0.012089670236077953
0.11,0.4569094995244407,0.015121115520453327,0.5913421337609759,0.009164106376994536,0.4596333992853551,0.01066357005147546,0.5828763295038295,0.010493002610154022,0.10074246794871795,0.019067934900160878,0.2988779214467164,0.0134749290174558,0.2000585661495367,0.010974791862775297,0.33572390655912715,0.008669637410264207
0.12,0.4861028716634243,0.013732108977581411,0.6185663156010656,0.008832543972263057,0.4891215221722721,0.01261882392054302,0.6093901781712441,0.00740204037640347,0.14781407598146606,0.017584806955725618,0.34122791886905657,0.011977066478862479,0.22833237485321697,0.012098489031136498,0.3646714822878361,0.009923796635002773
0.13,0.5181958381340881,0.011379471921199619,0.6374714026953439,0.009109841519374027,0.5157371017854695,0.011692726637860052,0.6258919468031968,0.008732327787882927,0.19179117249906955,0.01723141431061817,0.3755284117889335,0.01066721864650967,0.253729566196875,0.010936363888804885,0.3896779025240326,0.009072913429777165
0.14,0.5450398867798868,0.012509276848997592,0.6554090909090909,0.00923018404353425,0.5368717158674658,0.009102028982472105,0.644382900001959,0.009434569094634518,0.2339466611414901,0.01725530064055682,0.40636730394605386,0.01020085836526201,0.2796081673297463,0.010955661919952068,0.41299439205892147,0.010575233204898034
0.15,0.5708513805083806,0.011429672433441057,0.6727086961176079,0.00962244698768423,0.5566849972086737,0.009815844337857675,0.6613287091047928,0.00695765247554388,0.27613407040998217,0.012040573156928,0.4313756681096681,0.008419238579790062,0.3022549705196764,0.01112138458646747,0.43517913906595646,0.008276550847384514
0.16,0.5886599107559107,0.010531288464456029,0.6866879066766568,0.00770971563406598,0.5755877013819514,0.009354412111158675,0.674085806925273,0.007370167955144451,0.30694945346174296,0.012837013200502479,0.4549735365663748,0.008143372617279553,0.3283635443591496,0.010336922594320007,0.45510876809301815,0.010094758738636717
0.17,0.6049939282939283,0.010058121782373928,0.698456198967699,0.005763278405772423,0.5924293413253412,0.009382695068508836,0.6860244491505226,0.007466514731550837,0.33045009356819655,0.0115233483746729,0.4752822572427573,0.00863752946359769,0.3465719659443583,0.01063524832572657,0.4744167209776583,0.007452662708537038
0.18,0.6227345864690865,0.00973392304598868,0.7086123770746796,0.0068949968290958315,0.6083457948097653,0.007822555011104784,0.6965032932345434,0.007723630621557133,0.35535367052392053,0.011656580786701787,0.49256741414141414,0.01004322482960017,0.3644275662456401,0.010072141008056819,0.48731288614163626,0.008546181047113726
0.19,0.634081775527534,0.007461881054376469,0.7193539367299366,0.006933439099925887,0.6229001497668998,0.008850747477162704,0.7072882738095239,0.007638069032229202,0.3807064109224109,0.012443946638489542,0.5096864098581159,0.005767211467798867,0.3848281278020225,0.011083850483157586,0.5027911170202347,0.0072830607343626775
0.2,0.6489528538406039,0.009510856648871784,0.726635708791209,0.0070966967868995754,0.63470766000666,0.00806106819905459,0.7159355907425906,0.00672584867087141,0.39757184511257576,0.01311450560918639,0.5237551212121212,0.007934808961339237,0.40076923718180685,0.009598239764509806,0.5169033840881341,0.006926436637787987
0.21,0.6604907116413,0.007086748798237443,0.7354342043054984,0.0067767982723038155,0.6468695412760614,0.007849025542325968,0.7251829462759463,0.005259804394224699,0.41680788954346304,0.010170203873922326,0.5380557649017649,0.00586068347352911,0.41636601827584185,0.00790253451933018,0.5276638186127599,0.005961654132517086
0.22,0.6694577262596364,0.006954240388551473,0.741462706812795,0.005741454646437327,0.6578979975220858,0.007758120614556878,0.7322176212317095,0.005583430924955545,0.4333023893606393,0.009084899089060686,0.5512507793970736,0.007021870088341679,0.4307175632700633,0.009126839501294205,0.5392702331600289,0.006879360313084911
0.23,0.6785662050391129,0.007364791740928151,0.7471536665001666,0.005571014767328929,0.6686262900556617,0.008505318456726038,0.7380626918081918,0.005289073135215186,0.45465377167002247,0.009627761820105349,0.5588330859140859,0.007157557263363546,0.4444333718503718,0.008527952766953043,0.5475734579999464,0.005888294049956223
0.24,0.6876735222748266,0.005925992264805407,0.7518937025523494,0.0053393623168374515,0.6777029673659674,0.0077128402285068275,0.744919217948718,0.005676814779098745,0.46723567000345717,0.00744009759875994,0.5709021444242033,0.006135673104260179,0.4583703824606766,0.008660535141878563,0.5586255671219046,0.006598030500911367
0.25,0.6954006276517599,0.007183888955246655,0.7580311500560842,0.00473743733892864,0.685315109057609,0.006454713062833277,0.7508860059940059,0.0054946780969138236,0.47965020812520814,0.008048560087020463,0.5795345167288851,0.005177678325684114,0.46970788594738594,0.007041698238914715,0.5668074475720357,0.005887168846239552
0.26,0.7039998523698523,0.006655452420679769,0.7636036184207948,0.005670229891713374,0.694413704961705,0.0062199431133619695,0.7539822481728797,0.004995237513916107,0.4925862379287379,0.007597727416961058,0.5874525987345988,0.005867662630761403,0.4832102486435133,0.00733421255362384,0.5755211291551585,0.005881494549337039
0.27,0.7087812248796955,0.006564658327245116,0.7662708757353758,0.005492320872979282,0.7021382940115442,0.00758507447960207,0.7591900400432899,0.005350439614922834,0.5021904072692014,0.007907924406224136,0.5964707692307692,0.004648645645356099,0.4927742694021664,0.007002013990702605,0.5842337669216747,0.0057929753155439995
0.28,0.7164199145854145,0.00628270945404922,0.7703771958041957,0.005467768309036278,0.7073013690831871,0.005445692205078494,0.7642555970695969,0.005725814145636507,0.5147769629292276,0.007526290205583045,0.6028060014005603,0.005660149886505572,0.5008701492673991,0.007768909247299515,0.589307014299426,0.006167790274965642
0.29,0.7225266465106102,0.006682595133033125,0.7746608292540792,0.005298034775928585,0.713412824009324,0.007892688108293142,0.7676215051615052,0.006349290266204718,0.5240738478188479,0.007125820711428684,0.6079312837162836,0.005622483893292019,0.5101016392626981,0.007015587551288297,0.5971593347704927,0.004629370556540706
0.3,0.7272075989624409,0.00582986265544942,0.7778477315184815,0.004962151559737127,0.7206139931375813,0.004616108821702343,0.7722236185056773,0.004635033873416502,0.5312005142129113,0.006415065633679705,0.6149583477355978,0.004224589540233566,0.5202335712979831,0.008181454713876797,0.6033763131605238,0.005513756963534508
